,period,count
0,2017.03.02_2017-03-08,20
1,2017.03.09_2017-03-15,1
2,2017.03.16_2017-03-22,1
3,2017.03.23_2017-03-29,1
4,2017.03.30_2017-04-05,2
5,2017.04.06_2017-04-12,1
6,2017.04.13_2017-04-19,4
7,2017.04.20_2017-04-26,2
8,2017.04.27_2017-05-03,5
9,2017.05.04_2017-05-10,0
10,2017.05.11_2017-05-17,2
11,2017.05.18_2017-05-24,3
12,2017.05.25_2017-05-31,5
13,2017.06.01_2017-06-07,3
14,2017.06.08_2017-06-14,3
15,2017.06.15_2017-06-21,3
16,2017.06.22_2017-06-28,3
17,2017.06.29_2017-07-05,6
18,2017.07.06_2017-07-12,4
19,2017.07.13_2017-07-19,4
20,2017.07.20_2017-07-26,7
21,2017.07.27_2017-08-02,5
22,2017.08.03_2017-08-09,5
23,2017.08.10_2017-08-16,5
24,2017.08.17_2017-08-23,1
25,2017.08.24_2017-08-30,5
26,2017.08.31_2017-09-06,5
27,2017.09.07_2017-09-13,5
28,2017.09.14_2017-09-20,5
29,2017.09.21_2017-09-27,6
30,2017.09.28_2017-10-04,10
31,2017.10.05_2017-10-11,4
32,2017.10.12_2017-10-18,5
33,2017.10.19_2017-10-25,6
34,2017.10.26_2017-11-01,5
35,2017.11.02_2017-11-08,4
36,2017.11.09_2017-11-15,11
37,2017.11.16_2017-11-22,8
38,2017.11.23_2017-11-29,6
39,2017.11.30_2017-12-06,11
40,2017.12.07_2017-12-13,9
41,2017.12.14_2017-12-20,9
42,2017.12.21_2017-12-27,14
43,2017.12.28_2018-01-03,9
44,2018.01.11_2018-01-17,3
45,2018.01.18_2018-01-24,9
46,2018.01.25_2018-01-31,10
47,2018.02.01_2018-02-07,7
48,2018.02.08_2018-02-14,8
49,2018.02.15_2018-02-21,8
50,2018.02.22_2018-02-28,12
51,2018.03.01_2018-03-07,15
52,2018.03.08_2018-03-14,9
53,2018.03.15_2018-03-21,9
54,2018.03.22_2018-03-28,10
55,2018.03.29_2018-04-04,13
56,2018.04.05_2018-04-11,7
57,2018.04.12_2018-04-18,6
58,2018.04.19_2018-04-25,12
59,2018.04.26_2018-05-02,26
60,2018.05.03_2018-05-09,6
61,2018.05.10_2018-05-16,8
62,2018.05.17_2018-05-23,5
63,2018.05.24_2018-05-30,20
64,2018.05.31_2018-06-06,13
65,2018.06.07_2018-06-13,14
66,2018.06.14_2018-06-20,14
67,2018.06.21_2018-06-27,11
68,2018.06.28_2018-07-04,14
69,2018.07.05_2018-07-11,11
70,2018.07.12_2018-07-18,14
71,2018.07.19_2018-07-25,12
72,2018.07.26_2018-08-01,17
73,2018.08.02_2018-08-08,15
74,2018.08.09_2018-08-15,17
75,2018.08.16_2018-08-22,3
76,2018.08.23_2018-08-29,15
77,2018.08.30_2018-09-05,23
78,2018.09.06_2018-09-12,13
79,2018.09.13_2018-09-19,13
80,2018.09.20_2018-09-26,23
81,2018.09.27_2018-10-03,20
82,2018.10.04_2018-10-10,12
83,2018.10.11_2018-10-17,12
84,2018.10.18_2018-10-24,14
85,2018.10.25_2018-10-31,25
86,2018.11.01_2018-11-07,13
87,2018.11.08_2018-11-14,12
88,2018.11.15_2018-11-21,18
89,2018.11.22_2018-11-28,7
90,2018.11.29_2018-12-05,20
91,2018.12.06_2018-12-12,12
92,2018.12.13_2018-12-19,25
93,2018.12.20_2018-12-26,29
94,2018.12.27_2019-01-02,18
95,2019.01.03_2019-01-09,1
96,2019.01.10_2019-01-16,11
97,2019.01.17_2019-01-23,9
98,2019.01.24_2019-01-30,9
99,2019.01.31_2019-02-06,21
100,2019.02.07_2019-02-13,13
101,2019.02.14_2019-02-20,18
102,2019.02.21_2019-02-27,21
103,2019.02.28_2019-03-06,18
104,2019.03.07_2019-03-13,8
105,2019.03.14_2019-03-20,22
106,2019.03.21_2019-03-27,11
107,2019.03.28_2019-04-03,19
108,2019.04.04_2019-04-10,9
109,2019.04.11_2019-04-17,13
110,2019.04.18_2019-04-24,15
111,2019.04.25_2019-05-01,27
112,2019.05.02_2019-05-08,3
113,2019.05.09_2019-05-15,10
114,2019.05.16_2019-05-22,14
115,2019.05.23_2019-05-29,16
116,2019.05.30_2019-06-05,12
117,2019.06.06_2019-06-12,13
118,2019.06.13_2019-06-19,13
119,2019.06.20_2019-06-26,13
120,2019.06.27_2019-07-03,23
121,2019.07.04_2019-07-10,12
122,2019.07.11_2019-07-17,15
123,2019.07.18_2019-07-24,15
124,2019.07.25_2019-07-31,25
125,2019.08.01_2019-08-07,14
126,2019.08.08_2019-08-14,15
127,2019.08.15_2019-08-21,1
128,2019.08.22_2019-08-28,11
129,2019.08.29_2019-09-04,25
130,2019.09.05_2019-09-11,18
131,2019.09.12_2019-09-18,9
132,2019.09.19_2019-09-25,12
133,2019.09.26_2019-10-02,23
134,2019.10.03_2019-10-09,17
135,2019.10.10_2019-10-16,21
136,2019.10.17_2019-10-23,13
137,2019.10.24_2019-10-30,12
138,2019.10.31_2019-11-06,23
139,2019.11.07_2019-11-13,23
140,2019.11.14_2019-11-20,16
141,2019.11.21_2019-11-27,10
142,2019.11.28_2019-12-04,16
143,2019.12.05_2019-12-11,21
144,2019.12.12_2019-12-18,23
145,2019.12.19_2019-12-25,43
146,2019.12.26_2020-01-01,5
147,2020.01.02_2020-01-08,1
148,2020.01.09_2020-01-15,8
149,2020.01.16_2020-01-22,13
150,2020.01.23_2020-01-29,12
151,2020.01.30_2020-02-05,16
152,2020.02.06_2020-02-12,12
153,2020.02.13_2020-02-19,12
154,2020.02.20_2020-02-26,14
155,2020.02.27_2020-03-04,15
156,2020.03.05_2020-03-11,11
157,2020.03.12_2020-03-18,10
158,2020.03.19_2020-03-25,17
159,2020.03.26_2020-04-01,22
160,2020.04.02_2020-04-08,14
161,2020.04.09_2020-04-15,6
162,2020.04.16_2020-04-22,10
163,2020.04.23_2020-04-29,20
164,2020.04.30_2020-05-06,19
165,2020.05.07_2020-05-13,18
166,2020.05.14_2020-05-20,11
167,2020.05.21_2020-05-27,12
168,2020.05.28_2020-06-03,25
169,2020.06.04_2020-06-10,12
170,2020.06.11_2020-06-17,10
171,2020.06.18_2020-06-24,21
172,2020.06.26_2020-07-02,14
173,2020.07.03_2020-07-09,16
174,2020.07.10_2020-07-16,17
175,2020.07.17_2020-07-23,12
176,2020.07.24_2020-07-30,20
177,2020.07.31_2020-08-06,20
178,2020.08.07_2020-08-13,2
179,2020.08.14_2020-08-20,18
180,2020.08.21_2020-08-27,25
181,2020.08.28_2020-09-03,11
182,2020.09.04_2020-09-10,16
183,2020.09.11_2020-09-17,19
184,2020.09.18_2020-09-24,29
185,2020.09.25_2020-10-01,14
186,2020.10.02_2020-10-08,15
187,2020.10.09_2020-10-15,22
188,2020.10.16_2020-10-22,24
189,2020.10.23_2020-10-29,33
190,2020.10.30_2020-11-05,22
191,2020.11.06_2020-11-12,22
192,2020.11.13_2020-11-19,24
193,2020.11.20_2020-11-26,33
194,2020.11.27_2020-12-03,33
195,2020.12.04_2020-12-10,17
196,2020.12.11_2020-12-17,40
197,2020.12.18_2020-12-24,26
198,2020.12.25_2020-12-31,7
199,2021.01.01_2021-01-07,12
200,2021.01.08_2021-01-14,16
201,2021.01.15_2021-01-21,21
202,2021.01.22_2021-01-28,30
203,2021.01.29_2021-02-04,24
204,2021.02.05_2021-02-11,7
205,2021.02.12_2021-02-18,28
206,2021.02.19_2021-02-25,36
207,2021.02.26_2021-03-04,28
208,2021.03.05_2021-03-11,20
209,2021.03.12_2021-03-18,46
210,2021.03.19_2021-03-25,45
211,2021.03.26_2021-04-01,27
212,2021.04.02_2021-04-08,30
213,2021.04.09_2021-04-15,26
214,2021.04.16_2021-04-22,40
215,2021.04.23_2021-04-29,20
216,2021.04.30_2021-05-06,19
217,2021.05.07_2021-05-13,22
218,2021.05.14_2021-05-20,40
219,2021.05.21_2021-05-27,36
220,2021.05.28_2021-06-03,37
221,2021.06.04_2021-06-10,28
222,2021.06.18_2021-06-24,44
223,2021.06.25_2021-07-01,29
224,2021.07.02_2021-07-08,21
225,2021.07.09_2021-07-15,32
226,2021.07.16_2021-07-22,19
227,2021.07.23_2021-07-29,45
228,2021.07.30_2021-08-05,29
229,2021.08.06_2021-08-12,9
